汇厦少城百花里 1室1厅 50.62平米,2018.03.11,151.5,29929
汇厦少城百花里 2室1厅 61.69平米,2018.03.08,164,26585
汇厦少城琴台府 2室1厅 65.11平米,2018.03.04,185,28414
汇厦少城琴台府 3室1厅 85.31平米,2018.02.27,258,30243
汇厦少城琴台府 1室1厅 55.35平米,2018.01.09,140,25294
汇厦少城琴台府 1室1厅 55.37平米,2018.01.03,140,25285
汇厦少城琴台府 1室1厅 55.35平米,2017.12.31,151.5,27372
汇厦少城百花里 2室1厅 61.69平米,2017.11.15,145,23505
汇厦少城百花里 2室1厅 61.69平米,2017.10.23,140,22695
汇厦少城琴台府 3室2厅 100.85平米,2017.09.17,262,25980
汇厦少城琴台府 3室2厅 86.62平米,2017.09.11,208,24013
汇厦少城琴台府 3室2厅 95平米,2017.08.28,216,22737
汇厦少城琴台府 3室2厅 100.84平米,2017.08.10,225,22313
汇厦少城琴台府 1室1厅 55.35平米,2017.07.24,102.7,18555
汇厦少城琴台府 3室2厅 101.06平米,2017.07.22,240,23749
汇厦少城百花里 2室1厅 77.3平米,2017.07.11,162,20958
汇厦少城琴台府 3室2厅 100.63平米,2017.06.27,253,25142
汇厦少城百花里 1室1厅 50.62平米,2017.03.26,99,19558
汇厦少城琴台府 2室1厅 80.32平米,2017.03.10,147,18302
汇厦少城琴台府 3室2厅 100.63平米,2017.03.08,190,18882
汇厦少城琴台府 2室2厅 65平米,2017.02.23,116,17847
汇厦少城琴台府 3室2厅 101平米,2017.02.20,195,19307
汇厦少城百花里 2室2厅 61.69平米,2016.12.01,93,15076
汇厦少城琴台府 3室1厅 101.24平米,2016.11.12,150,14817
汇厦少城琴台府 3室2厅 95.26平米,2016.11.07,145,15222
汇厦少城琴台府 3室2厅 86平米,2016.09.29,126.8,14745
汇厦少城琴台府 3室1厅 86.62平米,2016.09.27,138.3,15967
汇厦少城琴台府 3室1厅 86平米,2016.08.31,116,13489
汇厦少城琴台府 3室2厅 86.42平米,2016.08.26,110.5,12787
汇厦少城琴台府 2室1厅 65.09平米,2016.08.08,87.2,13397
汇厦少城琴台府 3室1厅 97.05平米,2016.07.17,135,13911
汇厦少城琴台府 3室2厅 100.58平米,2016.06.19,136.5,13572
汇厦少城琴台府 2室1厅 76.43平米,2016.06.08,110,14393
汇厦少城百花里 3室2厅 107.59平米,2016.06.02,135,12548
汇厦少城琴台府 3室2厅 97.05平米,2016.05.31,153,15766
汇厦少城琴台府 3室2厅 86.62平米,2016.05.25,112,12931
汇厦少城琴台府 3室2厅 85.44平米,2016.05.23,113.5,13285
汇厦少城百花里 3室2厅 123.13平米,2016.05.03,162.5,13198
汇厦少城百花里 3室2厅 107.98平米,2016.04.19,138,12781
汇厦少城百花里 3室2厅 123.13平米,2016.04.03,153.9,12498
汇厦少城琴台府 3室2厅 101.17平米,2015.12.17,130,12850
汇厦少城琴台府 3室2厅 107.14平米,2015.11.06,145,13534
时代豪庭三期 2室1厅 111.88平米,2018.03.13,400,35753
时代豪庭四期 3室2厅 218平米,2018.03.06,615,28212
时代豪庭三期 3室2厅 173.86平米,2018.03.04,586,33706
时代豪庭一期 3室2厅 154.51平米,2018.03.03,480,31066
时代豪庭三期 2室1厅 112.79平米,2018.03.01,385,34135
时代豪庭一期 2室1厅 113.17平米,2018.02.27,348,30751
时代豪庭一期 2室2厅 106平米,2018.01.02,318,30000
时代豪庭一期 2室1厅 113.17平米,2017.12.04,370,32695
时代豪庭三期 3室1厅 143.28平米,2017.12.04,445,31059
时代豪庭三期 3室2厅 172.26平米,2017.11.09,540,31348
时代豪庭一期 2室2厅 106平米,2017.11.07,310,29246
时代豪庭三期 3室1厅 143平米,2017.11.02,385,26924
时代豪庭三期 2室2厅 112.81平米,2017.10.29,328,29076
时代豪庭一期 3室1厅 155平米,2017.10.29,360,23226
时代豪庭三期 3室2厅 172.5平米,2017.10.29,500,28986
时代豪庭四期 3室2厅 172.29平米,2017.10.23,525,30472
时代豪庭四期 3室2厅 166平米,2017.10.23,460,27711
时代豪庭三期 2室1厅 111.72平米,2017.10.17,363,32492
时代豪庭一期 2室1厅 113.21平米,2017.10.13,295,26058
时代豪庭一期 2室1厅 106平米,2017.10.13,314.5,29670
时代豪庭三期 2室1厅 112.81平米,2017.10.12,353,31292
时代豪庭一期 3室2厅 155平米,2017.09.27,358,23097
时代豪庭三期 2室2厅 112.79平米,2017.09.21,300,26599
时代豪庭二期 2室2厅 116平米,2017.09.20,315,27156
时代豪庭一期 2室2厅 113平米,2017.09.19,315,27877
时代豪庭三期 2室2厅 112平米,2017.09.13,316,28215
时代豪庭四期 3室2厅 213.33平米,2017.08.29,564,26437
时代豪庭二期 2室2厅 114平米,2017.08.26,320,28071
时代豪庭三期 2室2厅 114.6平米,2017.08.24,285,24870
时代豪庭一期 2室2厅 113平米,2017.08.17,290,25664
时代豪庭一期 3室2厅 155.79平米,2017.07.30,336.6,21607
时代豪庭三期 3室2厅 173平米,2017.07.27,515,29769
时代豪庭一期 3室2厅 155.79平米,2017.07.26,320,20541
时代豪庭三期 2室2厅 112.81平米,2017.07.11,300,26594
时代豪庭一期 3室1厅 154平米,2017.07.10,320,20780
时代豪庭一期 2室1厅 106.41平米,2017.06.30,298,28005
时代豪庭二期 2室2厅 114平米,2017.06.21,295,25878
时代豪庭四期 3室2厅 217.45平米,2017.06.12,535,24604
时代豪庭一期 2室2厅 116.28平米,2017.06.03,279,23994
时代豪庭四期 3室1厅 166平米,2017.05.27,370,22290
时代豪庭四期 4室2厅 217.84平米,2017.05.26,500,22953
时代豪庭三期 3室1厅 172.26平米,2017.05.12,480,27865
时代豪庭三期 3室2厅 172.26平米,2017.04.27,525,30478
时代豪庭三期 3室2厅 143平米,2017.04.13,360,25175
时代豪庭一期 3室2厅 154.84平米,2017.03.23,280,18084
时代豪庭四期 4室2厅 220平米,2017.03.23,410,18637
时代豪庭三期 3室1厅 143平米,2017.03.22,395,27623
时代豪庭四期 4室2厅 213.94平米,2017.03.22,517.5,24190
时代豪庭一期 2室1厅 116平米,2017.03.17,252,21725
时代豪庭一期 3室2厅 113平米,2017.03.13,296,26195
时代豪庭三期 2室2厅 112平米,2017.03.01,273,24375
时代豪庭四期 3室2厅 218平米,2017.02.10,505,23166
时代豪庭一期 2室1厅 106平米,2017.01.30,240,22642
时代豪庭四期 3室2厅 162平米,2017.01.13,425.6,26272
时代豪庭四期 3室2厅 166平米,2017.01.12,385,23193
时代豪庭四期 3室2厅 213平米,2017.01.12,500,23475
时代豪庭一期 2室2厅 106平米,2017.01.06,248,23397
时代豪庭三期 2室2厅 111.89平米,2017.01.04,262.2,23432
时代豪庭一期 3室2厅 148.5平米,2016.12.30,260,17509
时代豪庭一期 3室2厅 147.5平米,2016.12.28,260,17628
时代豪庭四期 3室2厅 176平米,2016.12.28,470,26705
时代豪庭四期 3室2厅 158平米,2016.12.21,380,24051
时代豪庭四期 3室2厅 161.62平米,2016.12.08,343,21223
时代豪庭一期 2室2厅 106平米,2016.11.30,216,20378
时代豪庭四期 3室2厅 220平米,2016.11.25,435,19773
时代豪庭三期 3室2厅 172.26平米,2016.11.22,394,22873
时代豪庭一期 3室2厅 154.51平米,2016.11.19,243.8,15779
时代豪庭一期 2室1厅 116.64平米,2016.11.09,230,19719
时代豪庭二期 2室2厅 119.17平米,2016.10.31,214,17958
时代豪庭一期 3室2厅 154.51平米,2016.10.25,230,14886
时代豪庭三期 2室1厅 111.72平米,2016.10.25,246,22020
时代豪庭三期 3室1厅 143.06平米,2016.10.21,305,21320
时代豪庭一期 3室2厅 147.24平米,2016.10.19,215,14603
时代豪庭三期 2室2厅 111.72平米,2016.10.14,240,21483
时代豪庭四期 3室2厅 217.87平米,2016.10.12,430,19737
时代豪庭一期 2室1厅 106.49平米,2016.10.11,200,18782
时代豪庭一期 2室2厅 106平米,2016.10.01,228,21510
时代豪庭三期 2室2厅 111.88平米,2016.09.30,209,18681
时代豪庭一期 2室2厅 116.24平米,2016.09.29,196.5,16905
时代豪庭一期 3室2厅 154.51平米,2016.09.29,200,12945
时代豪庭三期 3室2厅 172.52平米,2016.09.25,355,20578
时代豪庭四期 3室2厅 217.87平米,2016.09.24,470,21573
时代豪庭一期 2室2厅 113.21平米,2016.09.21,192,16960
时代豪庭三期 3室2厅 143.06平米,2016.09.19,265,18524
时代豪庭一期 3室1厅 154.84平米,2016.09.19,195,12594
时代豪庭二期 3室2厅 175.97平米,2016.09.17,303,17219
时代豪庭二期 2室1厅 117.05平米,2016.09.15,202,17258
时代豪庭二期 2室2厅 114.31平米,2016.09.14,199,17409
