宣武门西大街 1室1厅 42.9平米,2018/03,609.5,142075
宣武门西大街 2室1厅 55.42平米,2018/03,555,100145
民康胡同30号院 4室1厅 142平米,2018/03,1630,114789
华远北街 1室1厅 48平米,2018/03,646,134584
宣武门西大街 3室1厅 84.5平米,2018/03,1170,138462
宣武门西大街 2室0厅 54.99平米,2018/03,517,94018
京畿道 1室1厅 46平米,2018/02,688,149566
宣武门西大街 2室1厅 54.99平米,2018/02,512,93108
民康胡同30号院 1室1厅 48平米,2018/02,602,125417
宣武门西大街 3室1厅 81.35平米,2018/02,732,89982
新文化街 1室1厅 49.4平米,2018/02,550,111337
石灯胡同6号院 1室1厅 33.9平米,2018/02,487,143658
宣武门西大街 2室1厅 51.99平米,2018/02,510,98096
羊肉胡同120号院 1室1厅 41.5平米,2018/02,520,125302
宣武门西大街 2室0厅 47.42平米,2018/01,446,94054
二龙路 2室1厅 60.9平米,2018/01,900,147784
宏汇园小区 4室1厅 198.1平米,2018/01,2370,119637
金宸国际公寓 2室2厅 127.25平米,2018/01,1380,108448
佟麟阁路62号院 1室1厅 49.9平米,2018/01,650,130261
宣武门西大街 1室1厅 37.79平米,2018/01,365,96587
新文化街 2室1厅 61.2平米,2018/01,795,129902
羊肉胡同120号院 1室1厅 41.5平米,2017/12,515,124097
佟麟阁路62号院 1室1厅 49.7平米,2017/12,680,136821
佟麟阁路62号院 2室1厅 59.8平米,2017/12,872,145820
新文化街 1室1厅 39.9平米,2017/12,560,140351
参政胡同19号院 1室1厅 41.1平米,2017/12,602,146473
民康胡同30号院 2室1厅 58.4平米,2017/12,672,115069
西城晶华 1室1厅 88.62平米,2017/12,1200,135410
太平桥大街 1室1厅 44.5平米,2017/11,551,123821
宣武门西大街 3室1厅 63.2平米,2017/11,561,88766
西斜街 3室1厅 62.5平米,2017/11,930,148800
宣武门西大街 2室0厅 54.25平米,2017/11,512,94378
宣武门西大街 2室1厅 63.41平米,2017/11,595,93834
