天府欣苑西区 4室2厅 189.59平米,2018/03,585,30857
礼顿山1号 2室1厅 90.63平米,2018/03,249.8,27563
中海城南一号二期 4室2厅 193.67平米,2018/03,708,36558
奥克斯广场 1室0厅 50.39平米,2018/03,79,15678
奥克斯广场 3室2厅 127.36平米,2018/03,298,23399
仁和春天国际花园 3室1厅 137.93平米,2018/03,399.8,28986
仁和春天国际花园 4室1厅 256.84平米,2018/03,693.5,27002
礼顿山1号 2室2厅 88.66平米,2018/03,226,25491
银泰泰悦湾 1室2厅 112平米,2018/03,360,32143
誉峰一期 4室2厅 198.1平米,2018/03,630,31803
奥克斯广场 2室2厅 81.54平米,2018/03,128,15698
奥克斯广场 1室0厅 50.39平米,2018/03,76,15083
中海城南华府 4室2厅 186.24平米,2018/03,798,42848
枫丹国际 1室1厅 65.21平米,2018/03,166,25457
仁和春天国际花园 4室2厅 256.84平米,2018/02,690,26865
礼顿山1号 3室2厅 108.05平米,2018/02,280,25914
天府欣苑西区 4室2厅 189平米,2018/02,485,25662
中海城南一号一期 2室2厅 89.73平米,2018/02,340,37892
南苑小区B区 4室2厅 203.01平米,2018/02,638,31428
银泰泰悦湾 2室1厅 82.42平米,2018/02,235,28513
礼顿山1号 3室1厅 124.54平米,2018/02,305,24491
天府世家 3室2厅 113.46平米,2018/02,400,35255
银泰泰悦湾 3室2厅 111.96平米,2018/02,350,31262
银泰泰悦湾 3室2厅 113.09平米,2018/02,356,31480
仁和春天国际花园 3室2厅 136.06平米,2018/02,429,31531
润富国际花园 3室2厅 144.7平米,2018/02,530,36628
奥克斯广场 2室2厅 93.24平米,2018/02,248.5,26652
保利锦湖林语南区 4室2厅 105.11平米,2018/02,305,29018
中海城南一号二期 4室2厅 193.58平米,2018/02,739,38176
泛林格兰晴天 3室2厅 136.14平米,2018/02,252,18511
天府欣苑东区 2室2厅 206.34平米,2018/02,645,31260
西派国际 4室1厅 193.17平米,2018/02,720,37273
中航国际交流中心 2室1厅 76.24平米,2018/01,211.6,27755
中海城南一号二期 4室2厅 193.9平米,2018/01,680,35070
中海城南一号一期 6室2厅 240平米,2018/01,770,32084
中海城南一号一期 2室1厅 87.84平米,2018/01,356,40529
中航国际广场 1室1厅 78平米,2018/01,100,12821
中海城南华府 3室1厅 134.49平米,2018/01,475,35319
礼顿山1号 3室2厅 125.22平米,2018/01,315,25156
西派国际 2室1厅 89平米,2018/01,321,36068
布鲁明顿广场 1室1厅 44.54平米,2018/01,100,22452
天府欣苑西区 4室2厅 189平米,2018/01,538,28466
天府欣苑西区 4室2厅 189平米,2018/01,465,24604
保利锦湖林语南区 3室2厅 96平米,2018/01,224.8,23417
中航国际交流中心 2室2厅 80.22平米,2018/01,190,23685
泛林格兰晴天 2室2厅 77.22平米,2018/01,161.8,20954
中海城南一号一期 4室2厅 219.93平米,2018/01,850,38649
中航国际广场 1室0厅 47.61平米,2018/01,69,14493
银泰泰悦湾 2室1厅 111.85平米,2018/01,310,27716
奥克斯广场 1室1厅 50.39平米,2018/01,75,14884
布鲁明顿广场 3室1厅 93.88平米,2018/01,209.8,22348
西派国际 4室2厅 183.44平米,2018/01,798,43502
中海九号公馆 4室2厅 169.52平米,2018/01,558,32917
天府欣苑东区 4室2厅 189.59平米,2018/01,610,32175
仁和春天国际花园 4室2厅 176.99平米,2018/01,548,30963
中海城南华府 2室2厅 89平米,2018/01,314.6,35349
中海九号公馆 4室2厅 190平米,2017/12,628,33053
仁和春天国际花园 3室2厅 144.12平米,2017/12,420.7,29191
誉峰二期 4室1厅 183平米,2017/12,540,29509
中海城南一号一期 4室2厅 184.69平米,2017/12,700,37902
天府世家 4室2厅 139.94平米,2017/12,490,35016
南苑小区B区 4室2厅 202.29平米,2017/12,708,35000
奥克斯广场 3室2厅 127.36平米,2017/12,278,21828
首座MAX 3室1厅 211平米,2017/12,340,16114
奥克斯广场 3室2厅 123.18平米,2017/12,295,23949
奥克斯广场 1室0厅 50.39平米,2017/12,69.5,13793
誉峰一期 3室2厅 203.45平米,2017/12,480,23594
南苑小区A区 3室2厅 182.85平米,2017/12,539,29478
西派国际 2室2厅 90平米,2017/12,312,34667
中海九号公馆 2室2厅 89.74平米,2017/12,300,33430
南苑小区B区 4室2厅 203平米,2017/12,712,35074
奥克斯广场 1室0厅 64.64平米,2017/12,79,12222
西派国际 3室2厅 140.05平米,2017/12,400,28562
中海城南华府 3室2厅 134.75平米,2017/12,445,33025
银泰泰悦湾 3室2厅 113.09平米,2017/12,345,30507
泛林格兰晴天 3室1厅 105平米,2017/11,210,20000
天府世家 3室2厅 113.5平米,2017/11,338,29780
中航国际交流中心 2室2厅 76.24平米,2017/11,185,24266
奥克斯广场 3室2厅 126.09平米,2017/11,307,24348
中航国际广场 1室1厅 77.23平米,2017/11,100,12949
天府世家 3室2厅 113.01平米,2017/11,405,35838
礼顿山1号 2室2厅 91平米,2017/11,205.5,22583
中航国际交流中心 2室1厅 79平米,2017/11,195,24684
中海城南华府 3室2厅 135平米,2017/11,475,35186
天府世家 3室2厅 139.94平米,2017/11,403.8,28856
天府世家 3室2厅 113平米,2017/11,365,32301
中海城南华府 3室2厅 135平米,2017/11,450,33334
中航国际交流中心 1室1厅 56.35平米,2017/11,135,23958
礼顿山1号 2室2厅 88.25平米,2017/11,180,20397
中航国际交流中心 1室1厅 54.8平米,2017/11,148,27008
首座MAX 2室2厅 171平米,2017/11,275.8,16129
布鲁明顿广场 1室1厅 47平米,2017/11,90,19149
保利锦湖林语南区 4室2厅 103平米,2017/11,228,22136
中海城南一号二期 4室2厅 172.76平米,2017/11,642,37162
银泰泰悦湾 3室1厅 112平米,2017/11,345,30804
布鲁明顿广场 1室1厅 51.54平米,2017/11,97,18821
天府世家 3室2厅 112.99平米,2017/11,330,29207
布鲁明顿广场 2室1厅 78.14平米,2017/11,160,20477
中海九号公馆 4室1厅 189.68平米,2017/11,680,35850
布鲁明顿广场 2室1厅 78.14平米,2017/11,149.5,19133
银泰泰悦湾 4室2厅 195.88平米,2017/10,460,23484
枫丹国际 1室1厅 66.33平米,2017/10,130,19599
布鲁明顿广场 1室1厅 51.46平米,2017/10,98,19044
中航国际交流中心 2室1厅 78.31平米,2017/10,175,22348
中海九号公馆 3室1厅 135平米,2017/10,400,29630
布鲁明顿广场 2室1厅 93.88平米,2017/10,206.5,21997
中航国际广场 1室0厅 47.61平米,2017/10,61,12813
中航国际广场 1室0厅 47.61平米,2017/10,61,12813
中航国际广场 1室0厅 47.61平米,2017/10,61,12813
保利锦湖林语南区 4室2厅 116.36平米,2017/10,245,21056
礼顿山1号 2室1厅 90.64平米,2017/10,240,26479
中航国际广场 1室1厅 47平米,2017/10,65,13830
中海城南一号一期 2室2厅 87.84平米,2017/10,318,36203
中海城南一号一期 3室1厅 180.6平米,2017/10,500,27686
南苑小区B区 4室1厅 203.01平米,2017/10,665,32758
礼顿山1号 3室2厅 121.83平米,2017/10,268,21998
布鲁明顿广场 2室1厅 78.14平米,2017/10,150,19197
保利锦湖林语南区 4室2厅 113.56平米,2017/10,268,23600
中海城南华府 3室2厅 134.82平米,2017/10,450,33378
仁和春天国际花园 3室2厅 150.34平米,2017/10,488,32460
保利锦湖林语南区 4室1厅 116.59平米,2017/10,260,22301
中海城南华府 3室2厅 133.4平米,2017/10,400,29986
泛林格兰晴天 4室2厅 127平米,2017/10,200,15749
奥克斯广场 3室1厅 130.51平米,2017/10,286,21915
仁和春天国际花园 3室1厅 155.9平米,2017/10,465,29827
天府世家 4室2厅 177平米,2017/10,530,29944
誉峰一期 5室1厅 222.42平米,2017/10,7,315
仁和春天国际花园 3室1厅 168.57平米,2017/10,485,28772
仁和春天国际花园 4室2厅 168平米,2017/10,422.5,25149
中海城南华府 2室1厅 89.9平米,2017/09,290,32259
中航国际广场 1室1厅 77.23平米,2017/09,93,12042
枫丹国际 2室1厅 118.96平米,2017/09,195.5,16435
南苑小区A区 4室2厅 182.81平米,2017/09,550,30086
誉峰一期 4室1厅 182.56平米,2017/09,530,29032
仁和春天国际花园 2室2厅 110.33平米,2017/09,289.2,26210
南苑小区A区 4室2厅 183平米,2017/09,564,30820
银泰泰悦湾 2室2厅 82.42平米,2017/09,228,27664
天府世家 3室2厅 113平米,2017/09,330,29204
仁和春天国际花园 2室2厅 98平米,2017/09,260,26531
仁和春天国际花园 3室2厅 136.06平米,2017/09,346,25430
中海九号公馆 2室1厅 89.75平米,2017/09,280,31198
奥克斯广场 3室2厅 130.41平米,2017/09,285,21855
西派国际 2室2厅 89平米,2017/09,285,32023
仁和春天国际花园 3室2厅 125.06平米,2017/09,300,23989
中航国际交流中心 1室1厅 57平米,2017/09,132,23158
布鲁明顿广场 1室1厅 47.19平米,2017/09,80,16953
仁和春天国际花园 2室2厅 95平米,2017/09,269,28316
天府世家 4室2厅 136.62平米,2017/09,440,32207
布鲁明顿广场 2室1厅 78.14平米,2017/09,138,17661
礼顿山1号 3室2厅 122.84平米,2017/09,220,17910
西派国际 3室2厅 126平米,2017/09,420,33334
中海九号公馆 2室2厅 89.75平米,2017/09,268,29861
仁和春天国际花园 4室2厅 185平米,2017/09,498,26919
中航国际交流中心 2室1厅 80.77平米,2017/09,160,19810
天府世家 3室2厅 230.31平米,2017/09,580,25184
中海城南一号一期 4室2厅 159平米,2017/09,510,32076
西派国际 3室1厅 140.05平米,2017/09,420,29990
泛林格兰晴天 3室2厅 130.07平米,2017/09,200,15377
中海城南华府 5室2厅 253.56平米,2017/09,690,27213
天府世家 3室2厅 94.23平米,2017/09,308,32686
南苑小区A区 3室2厅 182.84平米,2017/09,600,32816
仁和春天国际花园 3室2厅 155.77平米,2017/09,385,24716
枫丹国际 1室1厅 66平米,2017/09,115,17425
保利锦湖林语南区 4室2厅 113.56平米,2017/09,260,22896
中海城南华府 2室2厅 89.85平米,2017/09,255,28381
天府世家 3室2厅 137.02平米,2017/09,400,29193
中海九号公馆 4室2厅 170平米,2017/09,455,26765
西派国际 3室2厅 153平米,2017/09,485,31700
仁和春天国际花园 3室2厅 157.61平米,2017/09,418,26522
奥克斯广场 1室0厅 50平米,2017/09,70,14000
中海城南华府 3室2厅 134.5平米,2017/09,389,28922
天府世家 4室2厅 159.47平米,2017/08,530,33236
天府世家 3室2厅 93.55平米,2017/08,296,31641
泛林格兰晴天 3室2厅 123.72平米,2017/08,210,16974
南苑小区A区 4室2厅 183.85平米,2017/08,550,29916
保利锦湖林语南区 4室2厅 105.1平米,2017/08,243,23121
保利锦湖林语南区 5室2厅 146.33平米,2017/08,380,25969
南苑小区A区 4室2厅 183平米,2017/08,529,28908
保利锦湖林语南区 3室2厅 96.11平米,2017/08,195,20290
银泰泰悦湾 2室2厅 90平米,2017/08,280,31112
银泰泰悦湾 4室2厅 151.8平米,2017/08,370,24375
天府世家 3室2厅 113.48平米,2017/08,323,28464
誉峰一期 4室3厅 347.9平米,2017/08,657,18885
泛林格兰晴天 2室2厅 78平米,2017/08,120,15385
