宏济新路95号 3室1厅 56.76平米,2018/03,80,14095
国嘉新视界 2室1厅 58.42平米,2018/03,130,22253
东方新城一期 2室1厅 67.83平米,2018/03,100,14743
莲花逸都 2室2厅 71.34平米,2018/03,165,23129
晶蓝半岛二期 2室1厅 89.86平米,2018/03,271,30159
摩根中心 2室1厅 81.77平米,2018/03,174,21280
南府锦 2室1厅 56.83平米,2018/03,136,23932
国嘉新视界 2室1厅 64.19平米,2018/03,145,22590
东城攻略 1室1厅 51.69平米,2018/03,92.5,17896
天紫界 2室1厅 80.63平米,2018/03,160,19844
晶蓝半岛一期 3室2厅 135.01平米,2018/03,408,30220
莲花逸都 1室1厅 55.73平米,2018/03,132,23686
外滩 4室2厅 138.37平米,2018/03,367,26524
粼江峰阁 2室2厅 108.91平米,2018/03,261,23965
晶蓝半岛一期 2室1厅 89.32平米,2018/03,269,30117
粼江峰阁 1室1厅 71.98平米,2018/03,178,24730
天紫界 2室1厅 80.43平米,2018/03,168,20888
莲花逸都 2室2厅 72.79平米,2018/03,177,24317
摩根中心 2室2厅 74平米,2018/03,173,23379
南府锦 1室1厅 50.11平米,2018/03,108,21553
天紫界 2室1厅 91.1平米,2018/03,180,19759
东恒国际 1室0厅 39.12平米,2018/02,38,9714
东恒国际 1室1厅 40.14平米,2018/02,42.2,10501
天紫界 2室1厅 58.47平米,2018/02,135,23089
莲花新三区 1室1厅 48.15平米,2018/02,80,16615
粼江峰阁 3室1厅 141.14平米,2018/02,315,22319
摩根中心 1室1厅 49.56平米,2018/02,113.8,22963
东城攻略 1室1厅 43.08平米,2018/02,68.2,15832
东恒国际 1室1厅 40.89平米,2018/02,38.9,9502
天紫界 2室1厅 58.3平米,2018/02,137.3,23551
晶蓝半岛一期 4室2厅 156.85平米,2018/02,468.8,29889
蜀光新城二期 3室1厅 104.83平米,2018/02,214.5,20462
东恒国际 1室0厅 40.14平米,2018/02,39,9716
盛华苑 2室1厅 75.1平米,2018/02,115,15313
摩根中心 2室2厅 88.55平米,2018/02,185,20893
朝阳名宅 2室2厅 101.58平米,2018/02,285,28057
晶蓝半岛二期 2室1厅 89.39平米,2018/02,295,33002
外滩 2室2厅 76.31平米,2018/01,202,26471
国嘉新视界 2室1厅 58.35平米,2018/01,127.3,21817
摩根中心 1室1厅 59.44平米,2018/01,110,18507
粼江峰阁 2室2厅 120.14平米,2018/01,300,24971
朝阳名宅 2室2厅 90.17平米,2018/01,168,18632
莲花逸都 2室1厅 80.87平米,2018/01,190,23495
东城攻略 1室1厅 51.69平米,2018/01,91.6,17722
粼江峰阁 4室2厅 169.88平米,2018/01,423,24900
世纪朝阳 2室2厅 91.71平米,2018/01,225,24534
摩根中心 2室1厅 88.55平米,2018/01,176,19876
林家坡1号 2室1厅 68.52平米,2018/01,111.5,16273
国嘉新视界 1室1厅 46.39平米,2018/01,102,21988
摩根中心 2室1厅 90.02平米,2018/01,180.1,19997
朝阳名宅 2室1厅 102平米,2018/01,191,18726
东恒国际 1室0厅 41平米,2018/01,36,8781
粼江峰阁 2室1厅 103.12平米,2018/01,240,23274
东城攻略 1室1厅 38.87平米,2018/01,60,15437
外滩 3室2厅 94.83平米,2018/01,230,24254
东方新城一期 2室1厅 74.17平米,2018/01,118,15910
新天美地 2室1厅 89.1平米,2018/01,163,18295
东恒国际 1室1厅 54.72平米,2018/01,55,10052
东方桂苑 1室0厅 33.7平米,2018/01,56.2,16677
莲花逸都 2室1厅 90.16平米,2018/01,219,24291
天紫界 2室1厅 58.76平米,2018/01,125,21273
粼江峰阁 2室2厅 102.61平米,2018/01,228,22221
东方新城一期 2室2厅 91.82平米,2018/01,180.1,19611
莲花逸都 2室1厅 88.6平米,2018/01,188,21219
东方桂苑 3室1厅 71.92平米,2018/01,152.5,21205
外滩 3室1厅 91.4平米,2018/01,223,24399
天紫界 2室1厅 68.2平米,2018/01,140,20528
东恒国际 1室1厅 55.68平米,2018/01,53.5,9609
天紫界 2室1厅 63.08平米,2018/01,156,24731
碧莲雅舍 4室2厅 127.11平米,2017/12,219,17230
顺江路49号 2室2厅 63.1平米,2017/12,92,14581
东方新城一期 2室1厅 92.61平米,2017/12,190,20517
摩根中心 2室1厅 73.87平米,2017/12,150,20306
东城攻略 2室1厅 64.32平米,2017/12,95.6,14861
东方新城一期 1室0厅 40.34平米,2017/12,60,14874
摩根中心 2室2厅 90.47平米,2017/12,180,19897
国嘉新视界 2室1厅 55.77平米,2017/12,115.8,20764
东恒国际 3室1厅 84.1平米,2017/12,95,11297
摩根中心 2室2厅 73.66平米,2017/12,148,20093
米市坝61号院 2室1厅 59.82平米,2017/12,83.9,14023
世纪朝阳 3室1厅 140.2平米,2017/12,340,24252
国嘉新视界 2室1厅 54.82平米,2017/12,117,21343
天紫界 1室1厅 60.59平米,2017/12,107.5,17743
东方新城一期 1室0厅 37.13平米,2017/12,52.5,14140
外滩 4室2厅 141.38平米,2017/12,338,23908
摩根中心 2室2厅 86.04平米,2017/12,170,19759
天紫界 1室0厅 58.14平米,2017/12,102,17544
摩根中心 2室2厅 83.01平米,2017/12,163.5,19697
东方新城一期 1室0厅 31平米,2017/12,42,13549
天紫界 2室1厅 91.1平米,2017/12,165,18112
朝阳名宅 2室2厅 102平米,2017/12,172.5,16912
东城攻略 1室1厅 45.95平米,2017/12,78,16975
莲花逸都 1室1厅 52.8平米,2017/12,116,21970
天紫界 2室1厅 80.53平米,2017/12,173,21483
东城攻略 2室1厅 78.51平米,2017/12,128,16304
国嘉新视界 1室1厅 50.73平米,2017/12,106,20895
莲花新三区 1室1厅 48.15平米,2017/12,73,15161
东恒国际 1室1厅 52.93平米,2017/12,52,9825
莲花逸都 2室1厅 83.86平米,2017/12,171,20392
外滩 2室2厅 80.41平米,2017/12,190,23629
国嘉新视界 2室1厅 58.36平米,2017/12,125,21419
粼江峰阁 2室2厅 108.91平米,2017/12,266,24424
天紫界 2室1厅 58.54平米,2017/12,143.6,24531
东城攻略 1室1厅 47.23平米,2017/12,75,15880
东城攻略 1室1厅 62.85平米,2017/11,90,14320
南府锦 3室2厅 117.04平米,2017/11,260,22215
天紫界 2室2厅 80.63平米,2017/11,180,22325
世纪朝阳 3室2厅 126平米,2017/11,273,21667
宏济新路201号 2室1厅 65.22平米,2017/11,93,14260
外滩 4室2厅 137.93平米,2017/11,300,21751
朝阳名宅 2室1厅 100.07平米,2017/11,178,17788
东方桂苑 2室1厅 61平米,2017/11,96,15738
东方新城一期 1室0厅 39.11平米,2017/11,29,7415
天紫界 2室1厅 68.63平米,2017/11,130,18943
莲花逸都 1室1厅 56.12平米,2017/11,112,19958
东恒国际 1室1厅 53平米,2017/11,53,10000
国嘉新视界 2室1厅 55.77平米,2017/11,110,19724
东城攻略 1室1厅 50.58平米,2017/11,78,15422
宏济新路4号 3室1厅 47.5平米,2017/11,71,14948
碧莲雅舍 2室1厅 67.85平米,2017/11,111,16360
莲花逸都 2室1厅 75.07平米,2017/11,146.5,19516
东城攻略 1室1厅 43.08平米,2017/11,63,14624
天紫界 1室1厅 67.19平米,2017/11,130,19349
外滩 2室2厅 78.19平米,2017/11,206,26347
摩根中心 2室1厅 88.15平米,2017/11,176.5,20023
世纪朝阳 2室1厅 91.14平米,2017/11,188,20628
东城攻略 1室1厅 60.3平米,2017/11,90,14926
莲花新二区 2室1厅 68.35平米,2017/11,110,16094
国嘉新视界 2室1厅 63.29平米,2017/11,133,21015
世纪朝阳 3室2厅 139.54平米,2017/11,310,22216
东方新城一期 1室0厅 37.63平米,2017/11,45,11959
天紫界 2室2厅 80.51平米,2017/11,152,18880
海椒市街7号院 2室2厅 65.2平米,2017/11,84,12884
世纪朝阳 3室2厅 126.65平米,2017/10,266,21003
