华润凤凰城二期 1室1厅 56.27平米,2018.03.07,142.6,25343
华润凤凰城二期 1室1厅 56.27平米,2018.03.06,145,25769
华润凤凰城三期 3室2厅 105.97平米,2018.02.10,310,29254
华润凤凰城一期 3室2厅 139.54平米,2018.02.09,376,26946
华润凤凰城二期 3室2厅 100.8平米,2018.02.06,285,28274
华润凤凰城一期 2室2厅 88.58平米,2018.02.06,221,24950
华润凤凰城一期 3室2厅 99.46平米,2018.02.04,270.5,27197
华润凤凰城三期 4室1厅 152.03平米,2018.02.03,455,29929
华润凤凰城一期 4室2厅 173.35平米,2018.01.31,460,26536
华润凤凰城一期 3室2厅 131.27平米,2018.01.29,350,26663
华润凤凰城二期 5室2厅 153.57平米,2018.01.22,425,27675
华润凤凰城二期 2室1厅 58平米,2018.01.18,138,23794
华润凤凰城一期 3室2厅 139.57平米,2018.01.12,355,25436
华润凤凰城一期 3室2厅 131平米,2018.01.11,470,35878
华润凤凰城一期 2室2厅 89.02平米,2017.12.23,225,25276
华润凤凰城一期 3室2厅 131.7平米,2017.12.22,292,22172
华润凤凰城一期 3室2厅 132平米,2017.12.20,370,28031
华润凤凰城二期 4室2厅 157.71平米,2017.12.14,446,28280
华润凤凰城一期 2室2厅 104.47平米,2017.12.13,230,22016
华润凤凰城一期 3室2厅 124平米,2017.12.11,270,21775
华润凤凰城三期 3室2厅 183.5平米,2017.12.09,468,25505
华润凤凰城一期 2室2厅 89.77平米,2017.12.08,235,26179
华润凤凰城三期 3室2厅 85.68平米,2017.12.02,227,26494
华润凤凰城三期 2室2厅 85.94平米,2017.11.29,220.8,25693
华润凤凰城一期 3室2厅 129.84平米,2017.11.19,280,21566
华润凤凰城一期 3室2厅 136.52平米,2017.11.17,310,22708
华润凤凰城二期 1室1厅 56.27平米,2017.11.13,133,23637
华润凤凰城三期 2室2厅 87.24平米,2017.11.12,209,23957
华润凤凰城三期 3室2厅 124平米,2017.10.30,285,22984
华润凤凰城二期 1室1厅 56平米,2017.10.25,140,25000
华润凤凰城一期 2室2厅 75.64平米,2017.10.25,174,23004
华润凤凰城二期 3室2厅 111.34平米,2017.10.24,266,23891
华润凤凰城一期 3室2厅 141.02平米,2017.10.24,340,24111
华润凤凰城一期 2室2厅 90.1平米,2017.10.15,210,23308
华润凤凰城三期 3室2厅 124.09平米,2017.10.15,285,22968
华润凤凰城二期 4室2厅 127.07平米,2017.10.14,280,22036
华润凤凰城一期 4室2厅 173.31平米,2017.10.09,410,23658
